id,Brand,Type,Chipset,Screen_Dimension
44,Huawei,P30 Pro,HiSilicon Kirin 980 (7 nm),"6.47 inches, 102.8 cm (~88.6% screen-to-body ratio)"
45,Lava,Z40,Unisoc SC9832,"4.0 inches, 45.5 cm (~56.8% screen-to-body ratio)"
46,Lava,Z60,Mediatek MT6737M (28 nm),"5.0 inches, 68.9 cm (~66.4% screen-to-body ratio)"
47,Lava,Z50,Mediatek MT6737M (28 nm),"4.5 inches, 55.8 cm (~62.1% screen-to-body ratio)"
48,Lava,Z60s,Mediatek MT6739WW (28 nm),"5.0 inches, 68.9 cm (~66.9% screen-to-body ratio)"
49,Lava,Z81,Mediatek MT6761 Helio A22 (12 nm),"5.7 inches, 83.8 cm (~75.5% screen-to-body ratio)"
50,Lava,Z61,Mediatek MT6739WW (28 nm),"5.45 inches, 76.7 cm (~74.5% screen-to-body ratio)"
51,Lava,Z90,Mediatek MT6737 (28 nm),"5.2 inches, 74.5 cm (~68.7% screen-to-body ratio)"
52,Lava,Z92,Mediatek MT6762 Helio P22 (12 nm),"6.22 inches, 96.6 cm (~81.2% screen-to-body ratio)"
53,Lava,Z91,Mediatek MT6739 (28 nm),"5.7 inches, 83.8 cm (~75.7% screen-to-body ratio)"
54,Lenovo,A5,Mediatek MT6739 (28 nm),"5.45 inches, 76.7 cm (~73.9% screen-to-body ratio)"
55,Lenovo,K8,Mediatek MT6757 Helio P20 (16 nm),"5.2 inches, 74.5 cm (~68.4% screen-to-body ratio)"
56,Lenovo,K6 Note,Qualcomm MSM8937 Snapdragon 430 (28 nm),"5.5 inches, 83.4 cm (~72.7% screen-to-body ratio)"
57,Lenovo,K8 Note,Mediatek MT6797D Helio X23 (20 nm),"5.5 inches, 83.4 cm (~71.1% screen-to-body ratio)"
58,Lenovo,Yoga Tab 3 8.0,Qualcomm MSM8909 Snapdragon 210 (28 nm),"8.0 inches, 185.6 cm (~60.7% screen-to-body ratio)"
59,Lenovo,Yoga Tab 3 10,Qualcomm MSM8909 Snapdragon 210 (28 nm) - 3G/LTE modelQualcomm APQ8009 (28 nm) - Wi-Fi model,"10.1 inches, 295.8 cm (~63.2% screen-to-body ratio)"
60,LG,G6,Qualcomm MSM8996 Snapdragon 821 (14 nm),"5.7 inches, 84.1 cm (~78.6% screen-to-body ratio)"
61,LG,K8,Mediatek MT6735 (28 nm),"5.0 inches, 68.9 cm (~66.7% screen-to-body ratio)"
62,LG,K10,"Qualcomm MSM8916 Snapdragon 410 (28 nm) - K420NMediatek MT6753 - K430DS, K430DSF, K430DSY","5.3 inches, 77.4 cm (~70.9% screen-to-body ratio)"
63,LG,Q Stylus,Mediatek MT6750 - Q Stylus/Q Stylus Î±,"6.2 inches, 99.7 cm (~80.2% screen-to-body ratio)"
64,LG,Spirit,"Qualcomm MSM8916 Snapdragon 410 (28 nm) - H440N, H445Mediatek MT6582 - H420","4.7 inches, 60.9 cm (~69.1% screen-to-body ratio)"
65,LG,Q6,Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.5 inches, 77.0 cm (~78.0% screen-to-body ratio)"
66,LG,W10,Mediatek MT6762 Helio P22 (12 nm),"6.19 inches, 96.0 cm (~80.7% screen-to-body ratio)"
67,Xiaomi,Mi A2 (Mi 6X),Qualcomm SDM660 Snapdragon 660 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
68,LG,W30,Mediatek MT6762 Helio P22 (12 nm),"6.26 inches, 97.8 cm (~80.4% screen-to-body ratio)"
69,Xiaomi,Mi Mix 2,Qualcomm MSM8998 Snapdragon 835 (10 nm),"5.99 inches, 92.6 cm (~80.8% screen-to-body ratio)"
70,Xiaomi,Redmi 5,Qualcomm SDM450 Snapdragon 450 (14 nm),"5.7 inches, 83.8 cm (~75.9% screen-to-body ratio)"
71,Xiaomi,Redmi 4 (4X),Qualcomm MSM8940 Snapdragon 435 (28 nm),"5.0 inches, 68.9 cm (~70.7% screen-to-body ratio)"
72,Xiaomi,Redmi 6,Mediatek MT6762 Helio P22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
73,Xiaomi,Redmi Note 5 AI Dual Camera,Snapdragon 636 (14 nm),"5.99 inches, 92.6 cm (~77.4% screen-to-body ratio)"
74,Xiaomi,Redmi 6A,Mediatek MT6761 Helio A22 (12 nm),"5.45 inches, 76.7 cm (~72.7% screen-to-body ratio)"
75,Moto,Moto C Plus,Mediatek MT6737 (28 nm),"5.0 inches, 68.9 cm (~66.2% screen-to-body ratio)"
